cust_key,cd_key,issue_dt,term_mo,principal_amt,rate_pct,payout_freq_cd,rate_type_cd,auto_renew_ind,status_cd,branch_id,ccy_cd,accrual_cd,brokered_ind
5423,1000049,05-SEP-2023,9,28621.69,1.151,Q,F,1,M,28,USD,30360,0
6227,1000050,04-MAY-2021,48,215626.47,3.606,M,F,0,M,145,USD,ACT365,0
6079,1000051,01-JAN-2020,36,143870.23,2.824,Q,F,1,M,133,USD,30360,0
1557,1000052,21-OCT-2020,9,208015.55,1.035,A,V,1,M,10,USD,ACT365,0
2911,1000053,22-JAN-2021,9,158691.47,1.676,Q,F,0,M,46,USD,ACT365,1
3734,1000054,12-OCT-2025,12,192324.87,1.812,A,V,1,A,68,USD,ACT365,0
3982,1000055,07-FEB-2021,6,182837.49,1.12,A,F,1,M,64,USD,ACT365,0
351,1000056,04-JAN-2021,6,65416.65,1.03,M,V,1,M,89,USD,30360,0
4373,1000057,26-MAR-2025,60,233794.55,4.617,A,F,1,A,132,USD,30360,0
1235,1000058,28-JUN-2025,36,161089.7,3.282,A,V,1,A,66,USD,ACT365,0
5947,1000059,21-APR-2021,36,50919.99,2.19,Q,V,0,M,3,USD,30360,0
5464,1000060,23-JAN-2024,9,76857.49,1.698,Q,F,1,M,12,USD,ACT365,0
7380,1000061,04-MAY-2023,48,133496.23,3.963,A,F,1,A,46,USD,ACT365,0
5958,1000062,08-AUG-2023,6,220515.77,1.35,M,F,0,M,25,USD,30360,0
2933,1000063,11-DEC-2021,60,199289.9,3.837,A,V,0,A,132,USD,30360,0
7740,1000064,09-SEP-2024,18,75860.98,1.639,M,F,0,M,115,USD,30360,0
3287,1000065,02-JUL-2025,9,172277.33,1.879,M,F,0,M,57,USD,ACT365,1
2607,1000066,14-JUL-2024,36,913.38,3.012,A,F,1,A,22,USD,30360,0
7244,1000067,22-AUG-2025,12,83493.94,1.632,M,V,1,A,137,USD,ACT365,0
2964,1000068,09-SEP-2020,9,209979.01,2.096,M,F,1,M,87,USD,30360,0
611,1000069,07-FEB-2024,36,38224.7,2.367,M,F,1,A,116,USD,30360,0
3756,1000070,29-MAR-2026,36,88672.12,2.688,A,V,1,A,143,USD,ACT365,0
6365,1000071,06-MAY-2023,24,760.31,2.146,M,V,1,M,49,USD,ACT365,0
1516,1000072,18-NOV-2025,18,6271.62,1.686,A,F,1,A,131,USD,30360,0
3704,1000073,05-MAR-2022,9,36931.74,0.636,Q,F,0,M,67,USD,30360,0
1040,1000074,07-AUG-2025,12,25914.83,1.791,Q,V,1,A,105,USD,30360,0
5492,1000075,11-NOV-2025,48,122687.47,3.097,A,F,1,A,146,USD,ACT365,0
3806,1000076,20-NOV-2023,12,225051.09,1.171,Q,V,0,M,13,USD,30360,0
2642,1000077,26-MAY-2024,60,21618.11,3.874,M,F,1,A,26,USD,ACT365,0
1816,1000078,07-APR-2023,6,217524.3,1.039,A,F,1,M,44,USD,ACT365,0
4516,1000079,23-DEC-2021,6,167205.38,1.077,M,F,1,M,78,USD,ACT365,0
5358,1000080,08-MAY-2023,9,42639.27,1.617,M,F,1,M,99,USD,30360,1
7522,1000081,04-JAN-2026,3,72789.26,1.369,M,V,0,M,82,USD,ACT365,1
3497,1000082,04-FEB-2020,48,48948.78,3.269,A,F,1,M,36,USD,ACT365,1
1286,1000083,12-APR-2021,12,197429.96,1.231,Q,F,1,M,110,USD,30360,0
6661,1000084,13-FEB-2023,3,181412.54,0.915,Q,F,1,M,94,USD,ACT365,0
5038,1000085,13-FEB-2022,24,76450.13,1.767,M,V,0,M,78,USD,ACT365,0
5602,1000086,23-NOV-2023,60,14056.42,3.99,A,V,0,A,63,USD,ACT365,0
778,1000087,02-APR-2022,60,42600.82,3.669,Q,F,0,A,87,USD,ACT365,0
2499,1000088,11-FEB-2024,3,157654.15,1.705,M,V,1,M,75,USD,30360,0
6142,1000089,30-AUG-2020,48,23048.02,3.405,M,F,1,M,80,USD,30360,0
6658,1000090,27-JAN-2022,12,134348.14,1.252,A,V,1,M,19,USD,30360,0
3482,1000091,29-APR-2024,48,153425.79,3.607,M,F,0,A,120,USD,30360,0
6438,1000092,10-DEC-2022,24,172094.53,1.649,A,F,0,M,140,USD,30360,0
6733,1000093,15-JUN-2024,36,31776.26,2.471,Q,V,1,A,124,USD,30360,0
3100,1000094,22-DEC-2023,48,115196.62,3.508,Q,F,1,A,142,USD,30360,0
7184,1000095,19-JAN-2022,60,116117.46,4.047,A,F,0,A,65,USD,ACT365,0
2307,1000096,03-SEP-2022,6,208903.01,1.487,M,V,0,M,103,USD,ACT365,0
1917,1000097,09-JAN-2026,36,117444.89,1.765,Q,V,0,A,42,USD,30360,0
5460,1000098,03-JAN-2026,6,101995.54,1.406,M,F,1,A,66,USD,ACT365,0
5094,1000099,22-MAR-2020,60,31303.38,3.81,Q,V,0,M,126,USD,ACT365,0
1118,1000100,28-MAY-2024,24,173768.86,1.67,A,F,0,A,100,USD,30360,0
6662,1000101,24-JAN-2023,6,155137.48,0.517,M,F,0,M,104,USD,ACT365,0
1600,1000102,03-JAN-2020,9,179378.99,1.086,M,F,0,M,99,USD,ACT365,1
6439,1000103,17-DEC-2023,60,164242.67,4.556,M,V,1,A,82,USD,30360,1
59,1000104,23-FEB-2020,24,218883.32,2.419,A,F,1,M,84,USD,30360,0
6374,1000105,28-DEC-2021,9,219397.85,1.852,A,V,0,M,115,USD,ACT365,0
6295,1000106,23-APR-2024,48,77266.97,3.32,Q,F,0,A,58,USD,ACT365,0
6243,1000107,27-JAN-2025,36,46011.81,2.757,Q,V,1,A,18,USD,ACT365,0
5319,1000108,30-JUL-2022,3,231656.14,0.407,Q,V,1,M,123,USD,ACT365,0
3773,1000109,18-JAN-2025,9,178403.46,0.727,Q,V,1,M,135,USD,ACT365,0
5641,1000110,29-MAR-2025,48,242758.86,3.309,M,V,0,A,128,USD,ACT365,0
2217,1000111,17-OCT-2022,12,124490.45,0.958,Q,V,1,M,103,USD,30360,0
6246,1000112,29-JAN-2021,3,240579.72,0.66,M,V,0,M,31,USD,30360,0
4445,1000113,12-FEB-2024,24,31118.34,2.095,Q,F,1,M,110,USD,ACT365,0
3671,1000114,01-FEB-2020,60,147795.96,4.445,A,F,0,M,64,USD,ACT365,0
4045,1000115,30-JUL-2025,24,124435.46,2.083,A,V,1,A,26,USD,ACT365,1
4550,1000116,04-JUN-2022,60,1159.91,3.524,Q,F,1,A,4,USD,30360,0
299,1000117,29-SEP-2024,6,48628.23,0.482,M,V,1,M,47,USD,ACT365,0
1119,1000118,05-AUG-2024,36,38791.3,2.762,A,F,1,A,87,USD,ACT365,0
1964,1000119,14-DEC-2022,24,15671.92,1.86,A,V,1,M,129,USD,30360,0
917,1000120,25-JAN-2026,60,237063.19,4.041,A,F,0,A,67,USD,ACT365,0
3517,1000121,21-DEC-2024,18,241359.11,1.689,A,V,0,A,84,USD,30360,0
5347,1000122,08-JUL-2025,48,222991.62,3.335,M,V,1,A,105,USD,30360,0
5235,1000123,02-AUG-2020,6,247225.78,1.541,M,F,0,M,123,USD,30360,0
3769,1000124,09-JAN-2023,3,207750.72,1.329,M,F,0,M,2,USD,30360,0
6840,1000125,11-DEC-2025,36,233079.18,2.849,A,F,1,A,81,USD,ACT365,1
4522,1000126,28-JAN-2025,3,49808.97,0.647,Q,F,1,M,32,USD,ACT365,0
634,1000127,01-NOV-2022,48,64592.52,3.167,Q,V,0,A,48,USD,ACT365,0
6120,1000128,09-JUN-2020,3,215585.49,1.227,Q,V,1,M,116,USD,30360,0
4597,1000129,05-OCT-2021,36,120126.2,3.175,A,F,0,M,52,USD,ACT365,0
5078,1000130,29-JUL-2023,18,179384.62,1.314,M,F,1,M,59,USD,30360,0
4523,1000131,04-JAN-2024,24,140696.32,2.615,M,V,1,M,115,USD,30360,0
4429,1000132,09-OCT-2025,24,76756.87,1.807,Q,F,1,A,81,USD,30360,0
725,1000133,30-JUL-2020,12,71566.29,1.674,M,F,1,M,88,USD,30360,1
4474,1000134,23-JUN-2022,18,187170.81,2.74,Q,F,1,M,63,USD,30360,0
6359,1000135,12-SEP-2021,18,133257.73,1.204,A,V,1,M,6,USD,ACT365,0
2432,1000136,29-DEC-2025,36,90166.73,2.897,M,F,1,A,9,USD,30360,0
4823,1000137,13-JAN-2021,36,154451.4,2.61,A,F,1,M,49,USD,ACT365,0
247,1000138,18-MAY-2021,18,105274.43,1.917,A,F,0,M,8,USD,30360,0
2780,1000139,10-NOV-2021,12,119031.17,1.223,M,V,1,M,42,USD,ACT365,0
3494,1000140,28-AUG-2020,3,169638.47,0.25,Q,V,0,M,145,USD,30360,0
7861,1000141,07-JAN-2024,48,114762.32,3.096,A,V,0,A,128,USD,ACT365,0
1717,1000142,11-APR-2023,9,237510.18,1.401,Q,V,0,M,11,USD,ACT365,0
2213,1000143,26-JUN-2023,12,121555.56,1.912,M,F,0,M,139,USD,ACT365,0
3268,1000144,31-AUG-2025,60,240474.79,4.142,Q,F,1,A,112,USD,30360,0
7941,1000145,14-SEP-2022,48,211998.19,3.875,M,V,1,A,85,USD,ACT365,0
6827,1000146,11-DEC-2021,12,222786.38,1.267,Q,V,1,M,23,USD,30360,0
278,1000147,06-MAY-2022,18,190937.19,1.559,M,V,1,M,88,USD,30360,0
1872,1000148,30-DEC-2024,9,151329.15,1.4,A,V,1,M,39,USD,30360,0
6573,1000149,20-APR-2023,24,133400.58,1.949,M,V,0,M,78,USD,ACT365,0
467,1000150,20-JAN-2021,6,138137.95,1.513,Q,F,0,M,40,USD,30360,0
6845,1000151,22-APR-2024,60,50762.96,3.508,Q,F,1,A,110,USD,ACT365,0
2251,1000152,27-AUG-2024,60,53991.52,4.302,M,V,0,A,77,USD,30360,0
7341,1000153,24-JUL-2021,9,9023.38,1.703,M,V,1,M,99,USD,30360,0
2349,1000154,24-JUN-2023,9,186517.3,1.408,M,F,1,M,122,USD,30360,0
3475,1000155,09-JUL-2023,18,31653.44,2.079,M,V,1,M,128,USD,ACT365,0
5295,1000156,03-FEB-2021,24,145746.21,1.853,M,V,1,M,95,USD,ACT365,0
1011,1000157,21-JAN-2020,24,34911.81,1.789,M,V,0,M,28,USD,ACT365,1
4456,1000158,25-JUN-2024,3,17103.41,1.083,A,F,0,M,62,USD,ACT365,0
4040,1000159,04-NOV-2023,36,133631.79,2.467,A,F,1,A,40,USD,ACT365,0
6271,1000160,16-JUN-2024,3,218337.43,1.065,Q,F,0,M,38,USD,ACT365,0
7968,1000161,10-MAY-2022,12,89325.6,1.546,M,F,1,M,117,USD,ACT365,0
5314,1000162,21-MAR-2023,36,229847.26,2.696,Q,V,1,M,66,USD,30360,0
3274,1000163,17-FEB-2026,48,3071.63,3.459,A,F,1,A,141,USD,ACT365,1
3251,1000164,29-MAY-2021,24,116701.88,2.302,Q,F,0,M,150,USD,30360,0
3344,1000165,29-JAN-2024,6,37117.73,1.085,Q,F,1,M,69,USD,30360,0
6512,1000166,28-OCT-2020,36,79287.23,2.553,Q,V,0,M,44,USD,30360,0
2570,1000167,29-MAY-2020,3,6421.07,1.248,M,V,0,M,21,USD,30360,1
1336,1000168,23-DEC-2025,9,9319.2,1.376,Q,V,0,A,24,USD,ACT365,0
2674,1000169,23-OCT-2020,6,178347.01,1.278,M,F,1,M,87,USD,30360,0
182,1000170,04-FEB-2024,60,163807.75,4.204,Q,V,0,A,87,USD,30360,0
850,1000171,18-MAR-2023,12,52479.7,1.492,M,V,1,M,19,USD,ACT365,0
721,1000172,19-JAN-2025,24,225336.67,1.96,M,V,1,A,17,USD,ACT365,1
6172,1000173,31-MAY-2023,48,172150.25,3.144,M,F,0,A,15,USD,ACT365,0
5779,1000174,08-MAY-2024,60,84375.19,3.969,M,V,1,A,69,USD,ACT365,0
5574,1000175,01-AUG-2025,60,102209.47,4.169,M,V,0,A,92,USD,ACT365,0
3695,1000176,07-MAR-2025,6,73492.67,1.305,Q,V,0,M,3,USD,ACT365,0
5736,1000177,04-JUL-2024,12,207734.25,1.49,M,F,1,M,17,USD,ACT365,1
1291,1000178,05-JAN-2021,12,123743.0,1.563,A,V,1,M,6,USD,30360,0
7205,1000179,21-JAN-2021,48,34259.24,2.973,Q,V,1,M,40,USD,ACT365,0
4008,1000180,07-FEB-2023,12,50827.58,1.277,M,V,1,M,2,USD,30360,1
7504,1000181,11-FEB-2024,9,74496.48,1.515,M,V,1,M,36,USD,ACT365,1
1219,1000182,01-MAR-2024,36,101086.72,2.428,M,F,1,A,31,USD,30360,0
3979,1000183,29-NOV-2024,18,148363.66,1.809,A,F,1,A,147,USD,ACT365,0
5570,1000184,23-AUG-2020,36,241059.16,2.738,A,F,1,M,79,USD,30360,0
3965,1000185,30-JAN-2021,12,65851.2,1.4,Q,F,1,M,34,USD,30360,0
3569,1000186,08-DEC-2020,18,82436.69,1.998,M,V,0,M,18,USD,ACT365,0
1330,1000187,19-MAY-2023,3,6476.02,1.04,Q,V,1,M,104,USD,ACT365,0
3048,1000188,17-DEC-2023,3,93451.71,0.541,Q,F,1,M,127,USD,30360,0
1910,1000189,20-SEP-2020,3,168931.83,1.141,A,F,1,M,84,USD,ACT365,0
2412,1000190,04-JUN-2025,6,240783.77,0.943,Q,F,1,M,80,USD,ACT365,1
5469,1000191,23-NOV-2021,12,185177.29,0.963,M,F,1,M,28,USD,ACT365,0
5042,1000192,15-FEB-2024,3,29940.13,1.22,A,V,0,M,44,USD,30360,0
4857,1000193,10-SEP-2024,6,222564.63,0.705,Q,V,0,M,66,USD,30360,0
2895,1000194,23-MAR-2020,48,209750.44,3.236,A,F,1,M,7,USD,ACT365,1
7677,1000195,26-MAY-2025,48,47661.1,3.463,A,F,1,A,14,USD,30360,0
702,1000196,22-JAN-2026,9,233618.55,1.254,A,F,1,A,70,USD,30360,0
2741,1000197,26-DEC-2025,60,178667.71,3.782,Q,F,1,A,22,USD,30360,0
944,1000198,14-NOV-2020,6,195812.93,0.772,M,V,0,M,3,USD,ACT365,0
2712,1000199,14-JUN-2022,3,115055.35,0.694,Q,F,1,M,110,USD,30360,0
7695,1000200,14-JUN-2021,12,50570.58,1.063,M,F,1,M,98,USD,30360,0
2930,1000201,25-OCT-2022,9,199876.75,1.236,Q,V,1,M,73,USD,30360,1
7268,1000202,01-FEB-2026,3,119621.96,0.769,Q,V,1,A,129,USD,30360,0
3961,1000203,06-OCT-2024,48,241873.87,2.877,A,F,1,A,120,USD,30360,1
5597,1000204,24-OCT-2024,60,38756.96,3.899,Q,F,1,A,16,USD,30360,0
3659,1000205,20-AUG-2022,9,89173.18,1.055,A,F,1,M,90,USD,30360,0
2127,1000206,06-NOV-2025,9,184018.99,1.374,Q,F,1,A,20,USD,30360,1
6114,1000207,29-SEP-2025,36,143284.26,2.847,Q,V,1,A,146,USD,30360,1
7753,1000208,13-JAN-2025,60,108602.13,4.47,A,V,1,A,90,USD,30360,0
2108,1000209,31-JAN-2025,9,175551.83,1.507,Q,V,1,M,140,USD,30360,0
6230,1000210,26-JAN-2024,36,183471.09,2.339,Q,V,0,A,73,USD,30360,0
2089,1000211,05-AUG-2020,3,144536.1,0.25,Q,V,1,M,80,USD,ACT365,0
5735,1000212,11-OCT-2021,24,80116.3,1.548,Q,F,1,M,53,USD,ACT365,1
6312,1000213,19-OCT-2024,60,154880.48,3.824,M,F,1,A,86,USD,30360,0
3595,1000214,15-JAN-2022,18,136538.0,1.197,M,V,1,M,15,USD,ACT365,0
5895,1000215,28-JAN-2021,24,199515.17,1.864,Q,F,1,M,30,USD,ACT365,0
2178,1000216,30-NOV-2025,36,163537.73,2.731,A,V,1,A,92,USD,30360,0
634,1000217,18-JAN-2023,24,124444.55,1.883,M,F,1,M,27,USD,ACT365,0
772,1000218,17-MAY-2025,36,5166.82,2.818,Q,F,0,A,24,USD,30360,0
3576,1000219,10-OCT-2021,48,42151.61,3.147,A,V,1,M,99,USD,ACT365,0
7220,1000220,30-MAR-2022,3,84480.28,0.693,M,V,0,M,73,USD,ACT365,0
1021,1000221,22-FEB-2022,48,150543.97,3.958,A,F,1,M,11,USD,30360,0
3646,1000222,01-MAY-2022,60,198193.51,3.988,Q,V,1,A,85,USD,30360,0
5632,1000223,25-SEP-2022,60,240008.55,4.039,A,F,1,A,74,USD,30360,0
1619,1000224,10-NOV-2021,12,150151.45,1.735,M,F,1,M,124,USD,30360,0
5773,1000225,31-JAN-2025,24,182346.58,2.387,A,V,0,A,39,USD,30360,0
2448,1000226,13-JAN-2022,12,155549.58,1.312,Q,F,1,M,135,USD,30360,0
6469,1000227,04-OCT-2022,48,107854.29,3.726,Q,F,1,A,57,USD,ACT365,0
4634,1000228,17-MAY-2025,12,152614.33,1.283,M,F,0,A,107,USD,ACT365,0
4375,1000229,24-SEP-2022,9,100467.91,1.636,A,F,1,M,49,USD,30360,0
1415,1000230,24-JAN-2020,36,113683.03,2.288,Q,F,1,M,140,USD,30360,0
3706,1000231,02-JAN-2020,3,227795.47,0.853,A,F,0,M,35,USD,ACT365,0
6853,1000232,21-SEP-2022,12,141182.99,1.518,M,V,1,M,129,USD,30360,0
157,1000233,19-JAN-2024,6,25552.53,1.246,A,V,1,M,55,USD,30360,1
6068,1000234,20-NOV-2025,12,131179.54,1.145,M,F,1,A,39,USD,30360,0
3942,1000235,25-OCT-2020,18,238338.42,1.183,M,F,0,M,47,USD,30360,0
5755,1000236,22-MAY-2023,3,25460.7,1.121,Q,F,0,M,101,USD,30360,0
5306,1000237,21-OCT-2021,48,242811.23,3.288,M,V,0,M,75,USD,ACT365,0
3457,1000238,24-OCT-2022,12,246916.27,1.303,A,F,1,M,140,USD,30360,0
2470,1000239,06-OCT-2022,12,140397.93,2.019,A,F,1,M,73,USD,30360,0
5018,1000240,13-DEC-2021,6,83443.46,1.017,Q,V,1,M,146,USD,30360,0
1122,1000241,11-FEB-2020,60,2654.35,3.819,Q,F,0,M,9,USD,30360,0
4673,1000242,17-JUN-2020,48,4368.5,2.73,M,F,0,M,54,USD,30360,0
758,1000243,06-APR-2023,18,97329.8,1.381,M,F,0,M,19,USD,ACT365,0
5199,1000244,27-MAY-2021,12,195876.41,1.747,Q,V,1,M,18,USD,30360,0
5030,1000245,15-JAN-2022,18,235622.19,1.506,A,V,1,M,98,USD,ACT365,0
676,1000246,25-JUL-2020,60,39117.19,4.22,Q,V,1,M,72,USD,ACT365,1
6060,1000247,23-APR-2020,6,122194.28,0.668,A,V,0,M,21,USD,ACT365,0
3327,1000248,16-OCT-2020,36,125680.55,2.416,Q,F,1,M,132,USD,ACT365,0
6295,1000249,10-MAY-2022,60,95385.69,3.687,A,V,1,A,94,USD,30360,0
333,1000250,07-JAN-2021,36,135219.04,2.887,M,F,1,M,91,USD,ACT365,0
1436,1000251,11-JUN-2021,48,231293.05,3.286,A,V,1,M,12,USD,ACT365,0
3952,1000252,19-NOV-2021,60,109913.02,3.611,Q,V,1,A,86,USD,30360,0
1506,1000253,26-OCT-2021,3,34876.04,1.21,A,F,1,M,93,USD,30360,0
2639,1000254,26-JAN-2020,9,166529.67,1.453,M,F,1,M,8,USD,ACT365,1
5285,1000255,24-SEP-2020,6,8327.94,1.239,M,F,0,M,82,USD,ACT365,0
1157,1000256,07-DEC-2025,24,235058.76,2.183,M,V,0,A,78,USD,30360,0
5421,1000257,03-MAR-2024,12,235001.97,1.141,Q,V,1,M,2,USD,ACT365,0
828,1000258,09-OCT-2020,3,23489.58,1.401,A,F,1,M,97,USD,ACT365,0
1402,1000259,09-OCT-2021,24,137946.27,2.045,A,V,1,M,56,USD,ACT365,0
4701,1000260,23-MAY-2022,3,199448.9,1.054,M,F,1,M,54,USD,30360,0
6348,1000261,27-AUG-2025,12,116412.33,1.574,Q,V,0,A,61,USD,ACT365,0
1365,1000262,29-JUN-2025,12,119953.52,1.109,A,F,0,A,72,USD,ACT365,0
2400,1000263,23-OCT-2024,60,242564.9,4.664,A,V,1,A,100,USD,30360,0
7401,1000264,31-AUG-2020,36,58011.77,2.711,Q,F,0,M,18,USD,ACT365,1
7917,1000265,23-JAN-2023,24,131814.39,2.092,Q,V,1,M,28,USD,30360,1
4648,1000266,08-JAN-2023,48,29184.56,3.216,M,F,1,A,102,USD,30360,0
3576,1000267,25-DEC-2023,6,75958.82,1.522,M,F,1,M,109,USD,30360,0
2775,1000268,10-APR-2025,9,212800.65,1.697,Q,F,1,M,136,USD,30360,1
4900,1000269,02-JAN-2022,36,179253.94,2.775,Q,V,1,M,67,USD,ACT365,0
4727,1000270,24-JUN-2023,36,153194.94,2.207,M,F,1,A,68,USD,ACT365,0
2358,1000271,24-AUG-2021,3,28915.2,0.902,M,V,1,M,44,USD,30360,0
183,1000272,24-APR-2021,9,212749.29,1.257,A,F,1,M,61,USD,30360,0
1212,1000273,15-DEC-2021,9,74878.27,1.122,A,V,1,M,31,USD,30360,0
7668,1000274,04-AUG-2024,3,133978.22,0.616,M,F,1,M,27,USD,ACT365,0
3345,1000275,25-SEP-2022,24,58751.94,1.536,Q,V,1,M,81,USD,30360,0
3858,1000276,03-APR-2024,3,130423.77,1.475,A,F,0,M,41,USD,30360,1
3737,1000277,25-APR-2024,48,140753.81,3.62,Q,F,1,A,52,USD,30360,0
6262,1000278,06-APR-2022,24,85446.88,2.092,A,V,1,M,138,USD,ACT365,0
520,1000279,18-DEC-2025,36,126727.45,2.493,Q,F,1,A,108,USD,ACT365,0
662,1000280,15-APR-2020,18,101810.07,1.886,M,F,1,M,143,USD,30360,0
2207,1000281,07-AUG-2025,60,174525.1,4.071,Q,F,0,A,58,USD,ACT365,0
3893,1000282,18-JAN-2020,9,136200.89,1.14,A,V,1,M,118,USD,ACT365,0
5369,1000283,22-MAY-2022,24,219579.99,2.216,A,F,0,M,33,USD,ACT365,1
3926,1000284,25-FEB-2025,3,12885.67,1.139,Q,V,1,M,47,USD,30360,0
3529,1000285,09-APR-2024,48,7146.35,3.601,Q,V,1,A,61,USD,30360,0
7502,1000286,03-JAN-2022,24,47543.06,1.769,A,V,1,M,49,USD,30360,0
1288,1000287,13-JUL-2025,6,30084.86,1.271,M,F,1,M,95,USD,ACT365,0
4574,1000288,10-NOV-2020,48,131711.0,3.772,Q,V,1,M,70,USD,30360,0
4338,1000289,09-MAR-2024,60,50433.45,4.104,A,F,1,A,110,USD,30360,0
3788,1000290,28-MAR-2023,3,4504.13,1.733,M,F,1,M,100,USD,30360,0
6460,1000291,17-APR-2021,48,71014.2,3.297,Q,V,1,M,115,USD,30360,0
2136,1000292,01-OCT-2025,36,127546.16,2.119,A,F,1,A,96,USD,30360,0
7630,1000293,12-OCT-2024,12,178706.66,1.143,A,V,0,M,43,USD,30360,0
2653,1000294,20-JAN-2020,24,109879.5,1.846,Q,V,0,M,80,USD,30360,1
4360,1000295,17-JUL-2020,48,240697.22,3.556,M,V,1,M,138,USD,30360,0
4165,1000296,08-MAY-2020,18,50263.44,2.051,A,V,0,M,9,USD,30360,0
6798,1000297,05-AUG-2022,24,128758.47,2.128,A,V,1,M,101,USD,30360,0
3511,1000298,09-AUG-2022,3,63669.34,1.062,Q,V,1,M,30,USD,ACT365,0
2277,1000299,09-JUL-2024,60,201763.64,4.67,A,F,0,A,41,USD,ACT365,1
