composite_key,source_row_index,dest_row_index,source_column,destination_column,issue_type,severity,rule_applied,source_value_raw,source_value_transformed,dest_value_raw,dest_value_transformed,expected_dest_value,difference,timestamp,key_Customer_ID_source,key_CD_Number_source,key_Issue_Date_source
CUST003547|CD-1000030|2025-11-03,29,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003547|CD-1000030|2025-11-03,CUST003547|CD-1000030|2025-11-03,,,,,2026-05-02T18:18:29.896605Z,CUST003547,CD-1000030,2025-11-03
CUST003604|CD-1000031|2025-08-29,30,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003604|CD-1000031|2025-08-29,CUST003604|CD-1000031|2025-08-29,,,,,2026-05-02T18:18:29.896605Z,CUST003604,CD-1000031,2025-08-29
CUST001818|CD-1000032|2020-08-23,31,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001818|CD-1000032|2020-08-23,CUST001818|CD-1000032|2020-08-23,,,,,2026-05-02T18:18:29.896605Z,CUST001818,CD-1000032,2020-08-23
CUST000737|CD-1000033|2026-03-10,32,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000737|CD-1000033|2026-03-10,CUST000737|CD-1000033|2026-03-10,,,,,2026-05-02T18:18:29.896605Z,CUST000737,CD-1000033,2026-03-10
CUST004437|CD-1000034|2023-12-19,33,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST004437|CD-1000034|2023-12-19,CUST004437|CD-1000034|2023-12-19,,,,,2026-05-02T18:18:29.896605Z,CUST004437,CD-1000034,2023-12-19
CUST007103|CD-1000035|2023-06-16,34,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007103|CD-1000035|2023-06-16,CUST007103|CD-1000035|2023-06-16,,,,,2026-05-02T18:18:29.896605Z,CUST007103,CD-1000035,2023-06-16
CUST000511|CD-1000036|2024-12-12,35,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000511|CD-1000036|2024-12-12,CUST000511|CD-1000036|2024-12-12,,,,,2026-05-02T18:18:29.896605Z,CUST000511,CD-1000036,2024-12-12
CUST006866|CD-1000037|2023-01-10,36,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006866|CD-1000037|2023-01-10,CUST006866|CD-1000037|2023-01-10,,,,,2026-05-02T18:18:29.896605Z,CUST006866,CD-1000037,2023-01-10
CUST006621|CD-1000038|2021-08-28,37,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006621|CD-1000038|2021-08-28,CUST006621|CD-1000038|2021-08-28,,,,,2026-05-02T18:18:29.896605Z,CUST006621,CD-1000038,2021-08-28
CUST002214|CD-1000039|2023-04-23,38,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002214|CD-1000039|2023-04-23,CUST002214|CD-1000039|2023-04-23,,,,,2026-05-02T18:18:29.896605Z,CUST002214,CD-1000039,2023-04-23
CUST005053|CD-1000040|2024-07-11,39,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005053|CD-1000040|2024-07-11,CUST005053|CD-1000040|2024-07-11,,,,,2026-05-02T18:18:29.896605Z,CUST005053,CD-1000040,2024-07-11
CUST001322|CD-1000041|2024-04-06,40,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001322|CD-1000041|2024-04-06,CUST001322|CD-1000041|2024-04-06,,,,,2026-05-02T18:18:29.896605Z,CUST001322,CD-1000041,2024-04-06
CUST006064|CD-1000042|2021-01-22,41,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006064|CD-1000042|2021-01-22,CUST006064|CD-1000042|2021-01-22,,,,,2026-05-02T18:18:29.896605Z,CUST006064,CD-1000042,2021-01-22
CUST005604|CD-1000043|2025-11-09,42,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005604|CD-1000043|2025-11-09,CUST005604|CD-1000043|2025-11-09,,,,,2026-05-02T18:18:29.896605Z,CUST005604,CD-1000043,2025-11-09
CUST002836|CD-1000044|2021-10-11,43,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002836|CD-1000044|2021-10-11,CUST002836|CD-1000044|2021-10-11,,,,,2026-05-02T18:18:29.896605Z,CUST002836,CD-1000044,2021-10-11
CUST000544|CD-1000045|2025-02-13,44,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000544|CD-1000045|2025-02-13,CUST000544|CD-1000045|2025-02-13,,,,,2026-05-02T18:18:29.896605Z,CUST000544,CD-1000045,2025-02-13
CUST007765|CD-1000046|2021-12-12,45,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007765|CD-1000046|2021-12-12,CUST007765|CD-1000046|2021-12-12,,,,,2026-05-02T18:18:29.896605Z,CUST007765,CD-1000046,2021-12-12
CUST003566|CD-1000047|2020-05-24,46,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003566|CD-1000047|2020-05-24,CUST003566|CD-1000047|2020-05-24,,,,,2026-05-02T18:18:29.896605Z,CUST003566,CD-1000047,2020-05-24
CUST007145|CD-1000048|2026-03-22,47,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007145|CD-1000048|2026-03-22,CUST007145|CD-1000048|2026-03-22,,,,,2026-05-02T18:18:29.896605Z,CUST007145,CD-1000048,2026-03-22
CUST005423|CD-1000049|2023-09-05,48,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005423|CD-1000049|2023-09-05,CUST005423|CD-1000049|2023-09-05,,,,,2026-05-02T18:18:29.896605Z,CUST005423,CD-1000049,2023-09-05
CUST006227|CD-1000050|2021-05-04,49,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006227|CD-1000050|2021-05-04,CUST006227|CD-1000050|2021-05-04,,,,,2026-05-02T18:18:29.896605Z,CUST006227,CD-1000050,2021-05-04
CUST006079|CD-1000051|2020-01-01,50,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006079|CD-1000051|2020-01-01,CUST006079|CD-1000051|2020-01-01,,,,,2026-05-02T18:18:29.896605Z,CUST006079,CD-1000051,2020-01-01
CUST001557|CD-1000052|2020-10-21,51,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001557|CD-1000052|2020-10-21,CUST001557|CD-1000052|2020-10-21,,,,,2026-05-02T18:18:29.896605Z,CUST001557,CD-1000052,2020-10-21
CUST002911|CD-1000053|2021-01-22,52,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002911|CD-1000053|2021-01-22,CUST002911|CD-1000053|2021-01-22,,,,,2026-05-02T18:18:29.896605Z,CUST002911,CD-1000053,2021-01-22
CUST003734|CD-1000054|2025-10-12,53,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003734|CD-1000054|2025-10-12,CUST003734|CD-1000054|2025-10-12,,,,,2026-05-02T18:18:29.896605Z,CUST003734,CD-1000054,2025-10-12
CUST003982|CD-1000055|2021-02-07,54,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003982|CD-1000055|2021-02-07,CUST003982|CD-1000055|2021-02-07,,,,,2026-05-02T18:18:29.896605Z,CUST003982,CD-1000055,2021-02-07
CUST000351|CD-1000056|2021-01-04,55,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000351|CD-1000056|2021-01-04,CUST000351|CD-1000056|2021-01-04,,,,,2026-05-02T18:18:29.896605Z,CUST000351,CD-1000056,2021-01-04
CUST004373|CD-1000057|2025-03-26,56,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST004373|CD-1000057|2025-03-26,CUST004373|CD-1000057|2025-03-26,,,,,2026-05-02T18:18:29.896605Z,CUST004373,CD-1000057,2025-03-26
CUST001235|CD-1000058|2025-06-28,57,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001235|CD-1000058|2025-06-28,CUST001235|CD-1000058|2025-06-28,,,,,2026-05-02T18:18:29.896605Z,CUST001235,CD-1000058,2025-06-28
CUST005947|CD-1000059|2021-04-21,58,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005947|CD-1000059|2021-04-21,CUST005947|CD-1000059|2021-04-21,,,,,2026-05-02T18:18:29.896605Z,CUST005947,CD-1000059,2021-04-21
CUST005464|CD-1000060|2024-01-23,59,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005464|CD-1000060|2024-01-23,CUST005464|CD-1000060|2024-01-23,,,,,2026-05-02T18:18:29.896605Z,CUST005464,CD-1000060,2024-01-23
CUST007380|CD-1000061|2023-05-04,60,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007380|CD-1000061|2023-05-04,CUST007380|CD-1000061|2023-05-04,,,,,2026-05-02T18:18:29.896605Z,CUST007380,CD-1000061,2023-05-04
CUST005958|CD-1000062|2023-08-08,61,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005958|CD-1000062|2023-08-08,CUST005958|CD-1000062|2023-08-08,,,,,2026-05-02T18:18:29.896605Z,CUST005958,CD-1000062,2023-08-08
CUST002933|CD-1000063|2021-12-11,62,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002933|CD-1000063|2021-12-11,CUST002933|CD-1000063|2021-12-11,,,,,2026-05-02T18:18:29.896605Z,CUST002933,CD-1000063,2021-12-11
CUST007740|CD-1000064|2024-09-09,63,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007740|CD-1000064|2024-09-09,CUST007740|CD-1000064|2024-09-09,,,,,2026-05-02T18:18:29.896605Z,CUST007740,CD-1000064,2024-09-09
CUST003287|CD-1000065|2025-07-02,64,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003287|CD-1000065|2025-07-02,CUST003287|CD-1000065|2025-07-02,,,,,2026-05-02T18:18:29.896605Z,CUST003287,CD-1000065,2025-07-02
CUST002607|CD-1000066|2024-07-14,65,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002607|CD-1000066|2024-07-14,CUST002607|CD-1000066|2024-07-14,,,,,2026-05-02T18:18:29.896605Z,CUST002607,CD-1000066,2024-07-14
CUST007244|CD-1000067|2025-08-22,66,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007244|CD-1000067|2025-08-22,CUST007244|CD-1000067|2025-08-22,,,,,2026-05-02T18:18:29.896605Z,CUST007244,CD-1000067,2025-08-22
CUST002964|CD-1000068|2020-09-09,67,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002964|CD-1000068|2020-09-09,CUST002964|CD-1000068|2020-09-09,,,,,2026-05-02T18:18:29.896605Z,CUST002964,CD-1000068,2020-09-09
CUST000611|CD-1000069|2024-02-07,68,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000611|CD-1000069|2024-02-07,CUST000611|CD-1000069|2024-02-07,,,,,2026-05-02T18:18:29.896605Z,CUST000611,CD-1000069,2024-02-07
CUST003756|CD-1000070|2026-03-29,69,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003756|CD-1000070|2026-03-29,CUST003756|CD-1000070|2026-03-29,,,,,2026-05-02T18:18:29.896605Z,CUST003756,CD-1000070,2026-03-29
CUST006365|CD-1000071|2023-05-06,70,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006365|CD-1000071|2023-05-06,CUST006365|CD-1000071|2023-05-06,,,,,2026-05-02T18:18:29.896605Z,CUST006365,CD-1000071,2023-05-06
CUST001516|CD-1000072|2025-11-18,71,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001516|CD-1000072|2025-11-18,CUST001516|CD-1000072|2025-11-18,,,,,2026-05-02T18:18:29.896605Z,CUST001516,CD-1000072,2025-11-18
CUST003704|CD-1000073|2022-03-05,72,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003704|CD-1000073|2022-03-05,CUST003704|CD-1000073|2022-03-05,,,,,2026-05-02T18:18:29.896605Z,CUST003704,CD-1000073,2022-03-05
CUST001040|CD-1000074|2025-08-07,73,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001040|CD-1000074|2025-08-07,CUST001040|CD-1000074|2025-08-07,,,,,2026-05-02T18:18:29.896605Z,CUST001040,CD-1000074,2025-08-07
CUST005492|CD-1000075|2025-11-11,74,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005492|CD-1000075|2025-11-11,CUST005492|CD-1000075|2025-11-11,,,,,2026-05-02T18:18:29.896605Z,CUST005492,CD-1000075,2025-11-11
CUST003806|CD-1000076|2023-11-20,75,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003806|CD-1000076|2023-11-20,CUST003806|CD-1000076|2023-11-20,,,,,2026-05-02T18:18:29.896605Z,CUST003806,CD-1000076,2023-11-20
CUST002642|CD-1000077|2024-05-26,76,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002642|CD-1000077|2024-05-26,CUST002642|CD-1000077|2024-05-26,,,,,2026-05-02T18:18:29.896605Z,CUST002642,CD-1000077,2024-05-26
CUST001816|CD-1000078|2023-04-07,77,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001816|CD-1000078|2023-04-07,CUST001816|CD-1000078|2023-04-07,,,,,2026-05-02T18:18:29.896605Z,CUST001816,CD-1000078,2023-04-07
CUST004516|CD-1000079|2021-12-23,78,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST004516|CD-1000079|2021-12-23,CUST004516|CD-1000079|2021-12-23,,,,,2026-05-02T18:18:29.896605Z,CUST004516,CD-1000079,2021-12-23
CUST005358|CD-1000080|2023-05-08,79,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005358|CD-1000080|2023-05-08,CUST005358|CD-1000080|2023-05-08,,,,,2026-05-02T18:18:29.896605Z,CUST005358,CD-1000080,2023-05-08
CUST007522|CD-1000081|2026-01-04,80,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST007522|CD-1000081|2026-01-04,CUST007522|CD-1000081|2026-01-04,,,,,2026-05-02T18:18:29.896605Z,CUST007522,CD-1000081,2026-01-04
CUST003497|CD-1000082|2020-02-04,81,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003497|CD-1000082|2020-02-04,CUST003497|CD-1000082|2020-02-04,,,,,2026-05-02T18:18:29.896605Z,CUST003497,CD-1000082,2020-02-04
CUST001286|CD-1000083|2021-04-12,82,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST001286|CD-1000083|2021-04-12,CUST001286|CD-1000083|2021-04-12,,,,,2026-05-02T18:18:29.896605Z,CUST001286,CD-1000083,2021-04-12
CUST006661|CD-1000084|2023-02-13,83,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006661|CD-1000084|2023-02-13,CUST006661|CD-1000084|2023-02-13,,,,,2026-05-02T18:18:29.896605Z,CUST006661,CD-1000084,2023-02-13
CUST005038|CD-1000085|2022-02-13,84,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005038|CD-1000085|2022-02-13,CUST005038|CD-1000085|2022-02-13,,,,,2026-05-02T18:18:29.896605Z,CUST005038,CD-1000085,2022-02-13
CUST005602|CD-1000086|2023-11-23,85,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST005602|CD-1000086|2023-11-23,CUST005602|CD-1000086|2023-11-23,,,,,2026-05-02T18:18:29.896605Z,CUST005602,CD-1000086,2023-11-23
CUST000778|CD-1000087|2022-04-02,86,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST000778|CD-1000087|2022-04-02,CUST000778|CD-1000087|2022-04-02,,,,,2026-05-02T18:18:29.896605Z,CUST000778,CD-1000087,2022-04-02
CUST002499|CD-1000088|2024-02-11,87,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST002499|CD-1000088|2024-02-11,CUST002499|CD-1000088|2024-02-11,,,,,2026-05-02T18:18:29.896605Z,CUST002499,CD-1000088,2024-02-11
CUST006142|CD-1000089|2020-08-30,88,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006142|CD-1000089|2020-08-30,CUST006142|CD-1000089|2020-08-30,,,,,2026-05-02T18:18:29.896605Z,CUST006142,CD-1000089,2020-08-30
CUST006658|CD-1000090|2022-01-27,89,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST006658|CD-1000090|2022-01-27,CUST006658|CD-1000090|2022-01-27,,,,,2026-05-02T18:18:29.896605Z,CUST006658,CD-1000090,2022-01-27
CUST003482|CD-1000091|2024-04-29,90,,"Customer_ID,CD_Number,Issue_Date",,KEY_MISSING_IN_DEST,High,composite_key,CUST003482|CD-1000091|2024-04-29,CUST003482|CD-1000091|2024-04-29,,,,,2026-05-02T18:18:29.896605Z,CUST003482,CD-1000091,2024-04-29
