Customer_ID,CD_Number,Issue_Date,Term_Months,Principal_Amount,Interest_Rate,Interest_Payout_Frequency,Rate_Type,Auto_Renew,Status,Branch_Code,Currency,Interest_Accrual_Method,Brokered_Flag
CUST006718,CD-1000019,2023-06-04,6,134032.14,0.898,AT_MATURITY,VARIABLE,YES,MATURED,BR-037,USD,ACT_365,NO
CUST003603,CD-1000020,2021-12-28,3,128662.42,1.85,AT_MATURITY,FIXED,NO,MATURED,BR-037,USD,ACT_365,NO
CUST004003,CD-1000021,2022-11-01,12,163576.13,0.861,QUARTERLY,VARIABLE,YES,MATURED,BR-012,USD,30_360,NO
CUST002967,CD-1000022,2024-07-11,12,53625.72,1.458,QUARTERLY,FIXED,YES,MATURED,BR-021,USD,30_360,NO
CUST001461,CD-1000023,2020-06-27,18,45321.02,1.715,AT_MATURITY,FIXED,NO,MATURED,BR-084,USD,30_360,NO
CUST007414,CD-1000024,2023-03-07,48,244490.01,3.273,QUARTERLY,FIXED,NO,ACTIVE,BR-087,USD,ACT_365,NO
CUST006252,CD-1000025,2020-02-19,36,28865.28,2.041,QUARTERLY,VARIABLE,YES,MATURED,BR-024,USD,30_360,YES
CUST005151,CD-1000026,2020-04-10,12,249852.44,1.425,MONTHLY,FIXED,NO,MATURED,BR-014,USD,30_360,NO
CUST003219,CD-1000027,2020-07-30,36,180134.21,2.783,AT_MATURITY,FIXED,NO,MATURED,BR-013,USD,ACT_365,NO
CUST006582,CD-1000028,2021-01-03,18,157515.9,2.008,MONTHLY,VARIABLE,YES,MATURED,BR-130,USD,ACT_365,NO
CUST004363,CD-1000029,2022-03-08,9,85275.98,1.449,MONTHLY,VARIABLE,NO,MATURED,BR-012,USD,ACT_365,NO
CUST003547,CD-1000030,2025-11-03,3,217016.87,1.386,AT_MATURITY,VARIABLE,YES,MATURED,BR-099,USD,ACT_365,NO
CUST003604,CD-1000031,2025-08-29,3,227560.37,0.25,AT_MATURITY,FIXED,YES,MATURED,BR-092,USD,ACT_365,NO
CUST001818,CD-1000032,2020-08-23,9,180610.06,1.198,QUARTERLY,FIXED,YES,MATURED,BR-017,USD,30_360,NO
CUST000737,CD-1000033,2026-03-10,48,177617.2,4.237,AT_MATURITY,FIXED,YES,ACTIVE,BR-047,USD,30_360,NO
CUST004437,CD-1000034,2023-12-19,18,123542.08,2.131,QUARTERLY,VARIABLE,YES,MATURED,BR-017,USD,ACT_365,NO
CUST007103,CD-1000035,2023-06-16,18,19919.8,1.251,QUARTERLY,VARIABLE,NO,MATURED,BR-111,USD,30_360,NO
CUST000511,CD-1000036,2024-12-12,12,249757.75,1.471,MONTHLY,VARIABLE,YES,MATURED,BR-114,USD,ACT_365,NO
CUST006866,CD-1000037,2023-01-10,9,4381.07,0.913,QUARTERLY,VARIABLE,NO,MATURED,BR-042,USD,30_360,NO
CUST006621,CD-1000038,2021-08-28,36,124101.65,2.569,MONTHLY,VARIABLE,YES,MATURED,BR-001,USD,30_360,YES
CUST002214,CD-1000039,2023-04-23,3,92100.01,1.66,MONTHLY,FIXED,YES,MATURED,BR-091,USD,ACT_365,NO
CUST005053,CD-1000040,2024-07-11,24,194145.02,2.415,QUARTERLY,FIXED,NO,ACTIVE,BR-076,USD,ACT_365,NO
CUST001322,CD-1000041,2024-04-06,60,184077.2,3.468,AT_MATURITY,VARIABLE,NO,ACTIVE,BR-025,USD,ACT_365,YES
CUST006064,CD-1000042,2021-01-22,48,157198.4,3.092,AT_MATURITY,FIXED,YES,MATURED,BR-144,USD,30_360,NO
CUST005604,CD-1000043,2025-11-09,12,19147.27,1.44,QUARTERLY,FIXED,YES,ACTIVE,BR-023,USD,30_360,NO
CUST002836,CD-1000044,2021-10-11,48,59593.94,3.267,QUARTERLY,FIXED,YES,MATURED,BR-108,USD,ACT_365,NO
CUST000544,CD-1000045,2025-02-13,9,23992.53,1.39,QUARTERLY,VARIABLE,NO,MATURED,BR-042,USD,ACT_365,NO
CUST007765,CD-1000046,2021-12-12,9,244754.6,1.009,AT_MATURITY,VARIABLE,NO,MATURED,BR-039,USD,30_360,NO
CUST003566,CD-1000047,2020-05-24,12,32381.83,1.312,QUARTERLY,FIXED,NO,MATURED,BR-122,USD,ACT_365,NO
CUST007145,CD-1000048,2026-03-22,3,241814.58,0.685,AT_MATURITY,FIXED,YES,ACTIVE,BR-105,USD,ACT_365,NO
CUST005423,CD-1000049,2023-09-05,9,28621.69,1.151,QUARTERLY,FIXED,YES,MATURED,BR-028,USD,30_360,NO
CUST006227,CD-1000050,2021-05-04,48,215626.47,3.606,MONTHLY,FIXED,NO,MATURED,BR-145,USD,ACT_365,NO
CUST006079,CD-1000051,2020-01-01,36,143870.23,2.824,QUARTERLY,FIXED,YES,MATURED,BR-133,USD,30_360,NO
CUST001557,CD-1000052,2020-10-21,9,208015.55,1.035,AT_MATURITY,VARIABLE,YES,MATURED,BR-010,USD,ACT_365,NO
CUST002911,CD-1000053,2021-01-22,9,158691.47,1.676,QUARTERLY,FIXED,NO,MATURED,BR-046,USD,ACT_365,YES
CUST003734,CD-1000054,2025-10-12,12,192324.87,1.812,AT_MATURITY,VARIABLE,YES,ACTIVE,BR-068,USD,ACT_365,NO
CUST003982,CD-1000055,2021-02-07,6,182837.49,1.12,AT_MATURITY,FIXED,YES,MATURED,BR-064,USD,ACT_365,NO
CUST000351,CD-1000056,2021-01-04,6,65416.65,1.03,MONTHLY,VARIABLE,YES,MATURED,BR-089,USD,30_360,NO
CUST004373,CD-1000057,2025-03-26,60,233794.55,4.617,AT_MATURITY,FIXED,YES,ACTIVE,BR-132,USD,30_360,NO
CUST001235,CD-1000058,2025-06-28,36,161089.7,3.282,AT_MATURITY,VARIABLE,YES,ACTIVE,BR-066,USD,ACT_365,NO
CUST005947,CD-1000059,2021-04-21,36,50919.99,2.19,QUARTERLY,VARIABLE,NO,MATURED,BR-003,USD,30_360,NO
CUST005464,CD-1000060,2024-01-23,9,76857.49,1.698,QUARTERLY,FIXED,YES,MATURED,BR-012,USD,ACT_365,NO
CUST007380,CD-1000061,2023-05-04,48,133496.23,3.963,AT_MATURITY,FIXED,YES,ACTIVE,BR-046,USD,ACT_365,NO
CUST005958,CD-1000062,2023-08-08,6,220515.77,1.35,MONTHLY,FIXED,NO,MATURED,BR-025,USD,30_360,NO
CUST002933,CD-1000063,2021-12-11,60,199289.9,3.837,AT_MATURITY,VARIABLE,NO,ACTIVE,BR-132,USD,30_360,NO
CUST007740,CD-1000064,2024-09-09,18,75860.98,1.639,MONTHLY,FIXED,NO,MATURED,BR-115,USD,30_360,NO
CUST003287,CD-1000065,2025-07-02,9,172277.33,1.879,MONTHLY,FIXED,NO,MATURED,BR-057,USD,ACT_365,YES
CUST002607,CD-1000066,2024-07-14,36,913.38,3.012,AT_MATURITY,FIXED,YES,ACTIVE,BR-022,USD,30_360,NO
CUST007244,CD-1000067,2025-08-22,12,83493.94,1.632,MONTHLY,VARIABLE,YES,ACTIVE,BR-137,USD,ACT_365,NO
CUST002964,CD-1000068,2020-09-09,9,209979.01,2.096,MONTHLY,FIXED,YES,MATURED,BR-087,USD,30_360,NO
CUST000611,CD-1000069,2024-02-07,36,38224.7,2.367,MONTHLY,FIXED,YES,ACTIVE,BR-116,USD,30_360,NO
CUST003756,CD-1000070,2026-03-29,36,88672.12,2.688,AT_MATURITY,VARIABLE,YES,ACTIVE,BR-143,USD,ACT_365,NO
CUST006365,CD-1000071,2023-05-06,24,760.31,2.146,MONTHLY,VARIABLE,YES,MATURED,BR-049,USD,ACT_365,NO
CUST001516,CD-1000072,2025-11-18,18,6271.62,1.686,AT_MATURITY,FIXED,YES,ACTIVE,BR-131,USD,30_360,NO
CUST003704,CD-1000073,2022-03-05,9,36931.74,0.636,QUARTERLY,FIXED,NO,MATURED,BR-067,USD,30_360,NO
CUST001040,CD-1000074,2025-08-07,12,25914.83,1.791,QUARTERLY,VARIABLE,YES,ACTIVE,BR-105,USD,30_360,NO
CUST005492,CD-1000075,2025-11-11,48,122687.47,3.097,AT_MATURITY,FIXED,YES,ACTIVE,BR-146,USD,ACT_365,NO
CUST003806,CD-1000076,2023-11-20,12,225051.09,1.171,QUARTERLY,VARIABLE,NO,MATURED,BR-013,USD,30_360,NO
CUST002642,CD-1000077,2024-05-26,60,21618.11,3.874,MONTHLY,FIXED,YES,ACTIVE,BR-026,USD,ACT_365,NO
CUST001816,CD-1000078,2023-04-07,6,217524.3,1.039,AT_MATURITY,FIXED,YES,MATURED,BR-044,USD,ACT_365,NO
CUST004516,CD-1000079,2021-12-23,6,167205.38,1.077,MONTHLY,FIXED,YES,MATURED,BR-078,USD,ACT_365,NO
CUST005358,CD-1000080,2023-05-08,9,42639.27,1.617,MONTHLY,FIXED,YES,MATURED,BR-099,USD,30_360,YES
CUST007522,CD-1000081,2026-01-04,3,72789.26,1.369,MONTHLY,VARIABLE,NO,MATURED,BR-082,USD,ACT_365,YES
CUST003497,CD-1000082,2020-02-04,48,48948.78,3.269,AT_MATURITY,FIXED,YES,MATURED,BR-036,USD,ACT_365,YES
CUST001286,CD-1000083,2021-04-12,12,197429.96,1.231,QUARTERLY,FIXED,YES,MATURED,BR-110,USD,30_360,NO
CUST006661,CD-1000084,2023-02-13,3,181412.54,0.915,QUARTERLY,FIXED,YES,MATURED,BR-094,USD,ACT_365,NO
CUST005038,CD-1000085,2022-02-13,24,76450.13,1.767,MONTHLY,VARIABLE,NO,MATURED,BR-078,USD,ACT_365,NO
CUST005602,CD-1000086,2023-11-23,60,14056.42,3.99,AT_MATURITY,VARIABLE,NO,ACTIVE,BR-063,USD,ACT_365,NO
CUST000778,CD-1000087,2022-04-02,60,42600.82,3.669,QUARTERLY,FIXED,NO,ACTIVE,BR-087,USD,ACT_365,NO
CUST002499,CD-1000088,2024-02-11,3,157654.15,1.705,MONTHLY,VARIABLE,YES,MATURED,BR-075,USD,30_360,NO
CUST006142,CD-1000089,2020-08-30,48,23048.02,3.405,MONTHLY,FIXED,YES,MATURED,BR-080,USD,30_360,NO
CUST006658,CD-1000090,2022-01-27,12,134348.14,1.252,AT_MATURITY,VARIABLE,YES,MATURED,BR-019,USD,30_360,NO
CUST003482,CD-1000091,2024-04-29,48,153425.79,3.607,MONTHLY,FIXED,NO,ACTIVE,BR-120,USD,30_360,NO
CUST006438,CD-1000092,2022-12-10,24,172094.53,1.649,AT_MATURITY,FIXED,NO,MATURED,BR-140,USD,30_360,NO
CUST006733,CD-1000093,2024-06-15,36,31776.26,2.471,QUARTERLY,VARIABLE,YES,ACTIVE,BR-124,USD,30_360,NO
CUST003100,CD-1000094,2023-12-22,48,115196.62,3.508,QUARTERLY,FIXED,YES,ACTIVE,BR-142,USD,30_360,NO
CUST007184,CD-1000095,2022-01-19,60,116117.46,4.047,AT_MATURITY,FIXED,NO,ACTIVE,BR-065,USD,ACT_365,NO
CUST002307,CD-1000096,2022-09-03,6,208903.01,1.487,MONTHLY,VARIABLE,NO,MATURED,BR-103,USD,ACT_365,NO
CUST001917,CD-1000097,2026-01-09,36,117444.89,1.765,QUARTERLY,VARIABLE,NO,ACTIVE,BR-042,USD,30_360,NO
CUST005460,CD-1000098,2026-01-03,6,101995.54,1.406,MONTHLY,FIXED,YES,ACTIVE,BR-066,USD,ACT_365,NO
CUST005094,CD-1000099,2020-03-22,60,31303.38,3.81,QUARTERLY,VARIABLE,NO,MATURED,BR-126,USD,ACT_365,NO
CUST001118,CD-1000100,2024-05-28,24,173768.86,1.67,AT_MATURITY,FIXED,NO,ACTIVE,BR-100,USD,30_360,NO
CUST006662,CD-1000101,2023-01-24,6,155137.48,0.517,MONTHLY,FIXED,NO,MATURED,BR-104,USD,ACT_365,NO
CUST001600,CD-1000102,2020-01-03,9,179378.99,1.086,MONTHLY,FIXED,NO,MATURED,BR-099,USD,ACT_365,YES
CUST006439,CD-1000103,2023-12-17,60,164242.67,4.556,MONTHLY,VARIABLE,YES,ACTIVE,BR-082,USD,30_360,YES
CUST000059,CD-1000104,2020-02-23,24,218883.32,2.419,AT_MATURITY,FIXED,YES,MATURED,BR-084,USD,30_360,NO
CUST006374,CD-1000105,2021-12-28,9,219397.85,1.852,AT_MATURITY,VARIABLE,NO,MATURED,BR-115,USD,ACT_365,NO
CUST006295,CD-1000106,2024-04-23,48,77266.97,3.32,QUARTERLY,FIXED,NO,ACTIVE,BR-058,USD,ACT_365,NO
CUST006243,CD-1000107,2025-01-27,36,46011.81,2.757,QUARTERLY,VARIABLE,YES,ACTIVE,BR-018,USD,ACT_365,NO
CUST005319,CD-1000108,2022-07-30,3,231656.14,0.407,QUARTERLY,VARIABLE,YES,MATURED,BR-123,USD,ACT_365,NO
CUST003773,CD-1000109,2025-01-18,9,178403.46,0.727,QUARTERLY,VARIABLE,YES,MATURED,BR-135,USD,ACT_365,NO
CUST005641,CD-1000110,2025-03-29,48,242758.86,3.309,MONTHLY,VARIABLE,NO,ACTIVE,BR-128,USD,ACT_365,NO
CUST002217,CD-1000111,2022-10-17,12,124490.45,0.958,QUARTERLY,VARIABLE,YES,MATURED,BR-103,USD,30_360,NO
CUST006246,CD-1000112,2021-01-29,3,240579.72,0.66,MONTHLY,VARIABLE,NO,MATURED,BR-031,USD,30_360,NO
CUST004445,CD-1000113,2024-02-12,24,31118.34,2.095,QUARTERLY,FIXED,YES,MATURED,BR-110,USD,ACT_365,NO
CUST003671,CD-1000114,2020-02-01,60,147795.96,4.445,AT_MATURITY,FIXED,NO,MATURED,BR-064,USD,ACT_365,NO
CUST004045,CD-1000115,2025-07-30,24,124435.46,2.083,AT_MATURITY,VARIABLE,YES,ACTIVE,BR-026,USD,ACT_365,YES
CUST004550,CD-1000116,2022-06-04,60,1159.91,3.524,QUARTERLY,FIXED,YES,ACTIVE,BR-004,USD,30_360,NO
CUST000299,CD-1000117,2024-09-29,6,48628.23,0.482,MONTHLY,VARIABLE,YES,MATURED,BR-047,USD,ACT_365,NO
CUST001119,CD-1000118,2024-08-05,36,38791.3,2.762,AT_MATURITY,FIXED,YES,ACTIVE,BR-087,USD,ACT_365,NO
CUST001964,CD-1000119,2022-12-14,24,15671.92,1.86,AT_MATURITY,VARIABLE,YES,MATURED,BR-129,USD,30_360,NO
CUST000917,CD-1000120,2026-01-25,60,237063.19,4.041,AT_MATURITY,FIXED,NO,ACTIVE,BR-067,USD,ACT_365,NO
CUST003517,CD-1000121,2024-12-21,18,241359.11,1.689,AT_MATURITY,VARIABLE,NO,ACTIVE,BR-084,USD,30_360,NO
CUST005347,CD-1000122,2025-07-08,48,222991.62,3.335,MONTHLY,VARIABLE,YES,ACTIVE,BR-105,USD,30_360,NO
CUST005235,CD-1000123,2020-08-02,6,247225.78,1.541,MONTHLY,FIXED,NO,MATURED,BR-123,USD,30_360,NO
CUST003769,CD-1000124,2023-01-09,3,207750.72,1.329,MONTHLY,FIXED,NO,MATURED,BR-002,USD,30_360,NO
CUST006840,CD-1000125,2025-12-11,36,233079.18,2.849,AT_MATURITY,FIXED,YES,ACTIVE,BR-081,USD,ACT_365,YES
CUST004522,CD-1000126,2025-01-28,3,49808.97,0.647,QUARTERLY,FIXED,YES,MATURED,BR-032,USD,ACT_365,NO
CUST000634,CD-1000127,2022-11-01,48,64592.52,3.167,QUARTERLY,VARIABLE,NO,ACTIVE,BR-048,USD,ACT_365,NO
CUST006120,CD-1000128,2020-06-09,3,215585.49,1.227,QUARTERLY,VARIABLE,YES,MATURED,BR-116,USD,30_360,NO
CUST004597,CD-1000129,2021-10-05,36,120126.2,3.175,AT_MATURITY,FIXED,NO,MATURED,BR-052,USD,ACT_365,NO
CUST005078,CD-1000130,2023-07-29,18,179384.62,1.314,MONTHLY,FIXED,YES,MATURED,BR-059,USD,30_360,NO
CUST004523,CD-1000131,2024-01-04,24,140696.32,2.615,MONTHLY,VARIABLE,YES,MATURED,BR-115,USD,30_360,NO
CUST004429,CD-1000132,2025-10-09,24,76756.87,1.807,QUARTERLY,FIXED,YES,ACTIVE,BR-081,USD,30_360,NO
CUST000725,CD-1000133,2020-07-30,12,71566.29,1.674,MONTHLY,FIXED,YES,MATURED,BR-088,USD,30_360,YES
CUST004474,CD-1000134,2022-06-23,18,187170.81,2.74,QUARTERLY,FIXED,YES,MATURED,BR-063,USD,30_360,NO
CUST006359,CD-1000135,2021-09-12,18,133257.73,1.204,AT_MATURITY,VARIABLE,YES,MATURED,BR-006,USD,ACT_365,NO
CUST002432,CD-1000136,2025-12-29,36,90166.73,2.897,MONTHLY,FIXED,YES,ACTIVE,BR-009,USD,30_360,NO
CUST004823,CD-1000137,2021-01-13,36,154451.4,2.61,AT_MATURITY,FIXED,YES,MATURED,BR-049,USD,ACT_365,NO
CUST000247,CD-1000138,2021-05-18,18,105274.43,1.917,AT_MATURITY,FIXED,NO,MATURED,BR-008,USD,30_360,NO
CUST002780,CD-1000139,2021-11-10,12,119031.17,1.223,MONTHLY,VARIABLE,YES,MATURED,BR-042,USD,ACT_365,NO
CUST003494,CD-1000140,2020-08-28,3,169638.47,0.25,QUARTERLY,VARIABLE,NO,MATURED,BR-145,USD,30_360,NO
CUST007861,CD-1000141,2024-01-07,48,114762.32,3.096,AT_MATURITY,VARIABLE,NO,ACTIVE,BR-128,USD,ACT_365,NO
CUST001717,CD-1000142,2023-04-11,9,237510.18,1.401,QUARTERLY,VARIABLE,NO,MATURED,BR-011,USD,ACT_365,NO
CUST002213,CD-1000143,2023-06-26,12,121555.56,1.912,MONTHLY,FIXED,NO,MATURED,BR-139,USD,ACT_365,NO
CUST003268,CD-1000144,2025-08-31,60,240474.79,4.142,QUARTERLY,FIXED,YES,ACTIVE,BR-112,USD,30_360,NO
CUST007941,CD-1000145,2022-09-14,48,211998.19,3.875,MONTHLY,VARIABLE,YES,ACTIVE,BR-085,USD,ACT_365,NO
CUST006827,CD-1000146,2021-12-11,12,222786.38,1.267,QUARTERLY,VARIABLE,YES,MATURED,BR-023,USD,30_360,NO
CUST000278,CD-1000147,2022-05-06,18,190937.19,1.559,MONTHLY,VARIABLE,YES,MATURED,BR-088,USD,30_360,NO
CUST001872,CD-1000148,2024-12-30,9,151329.15,1.4,AT_MATURITY,VARIABLE,YES,MATURED,BR-039,USD,30_360,NO
CUST006573,CD-1000149,2023-04-20,24,133400.58,1.949,MONTHLY,VARIABLE,NO,MATURED,BR-078,USD,ACT_365,NO
CUST000467,CD-1000150,2021-01-20,6,138137.95,1.513,QUARTERLY,FIXED,NO,MATURED,BR-040,USD,30_360,NO
CUST006845,CD-1000151,2024-04-22,60,50762.96,3.508,QUARTERLY,FIXED,YES,ACTIVE,BR-110,USD,ACT_365,NO
CUST002251,CD-1000152,2024-08-27,60,53991.52,4.302,MONTHLY,VARIABLE,NO,ACTIVE,BR-077,USD,30_360,NO
CUST007341,CD-1000153,2021-07-24,9,9023.38,1.703,MONTHLY,VARIABLE,YES,MATURED,BR-099,USD,30_360,NO
CUST002349,CD-1000154,2023-06-24,9,186517.3,1.408,MONTHLY,FIXED,YES,MATURED,BR-122,USD,30_360,NO
CUST003475,CD-1000155,2023-07-09,18,31653.44,2.079,MONTHLY,VARIABLE,YES,MATURED,BR-128,USD,ACT_365,NO
CUST005295,CD-1000156,2021-02-03,24,145746.21,1.853,MONTHLY,VARIABLE,YES,MATURED,BR-095,USD,ACT_365,NO
CUST001011,CD-1000157,2020-01-21,24,34911.81,1.789,MONTHLY,VARIABLE,NO,MATURED,BR-028,USD,ACT_365,YES
CUST004456,CD-1000158,2024-06-25,3,17103.41,1.083,AT_MATURITY,FIXED,NO,MATURED,BR-062,USD,ACT_365,NO
CUST004040,CD-1000159,2023-11-04,36,133631.79,2.467,AT_MATURITY,FIXED,YES,ACTIVE,BR-040,USD,ACT_365,NO
CUST006271,CD-1000160,2024-06-16,3,218337.43,1.065,QUARTERLY,FIXED,NO,MATURED,BR-038,USD,ACT_365,NO
CUST007968,CD-1000161,2022-05-10,12,89325.6,1.546,MONTHLY,FIXED,YES,MATURED,BR-117,USD,ACT_365,NO
CUST005314,CD-1000162,2023-03-21,36,229847.26,2.696,QUARTERLY,VARIABLE,YES,MATURED,BR-066,USD,30_360,NO
CUST003274,CD-1000163,2026-02-17,48,3071.63,3.459,AT_MATURITY,FIXED,YES,ACTIVE,BR-141,USD,ACT_365,YES
CUST003251,CD-1000164,2021-05-29,24,116701.88,2.302,QUARTERLY,FIXED,NO,MATURED,BR-150,USD,30_360,NO
CUST003344,CD-1000165,2024-01-29,6,37117.73,1.085,QUARTERLY,FIXED,YES,MATURED,BR-069,USD,30_360,NO
CUST006512,CD-1000166,2020-10-28,36,79287.23,2.553,QUARTERLY,VARIABLE,NO,MATURED,BR-044,USD,30_360,NO
CUST002570,CD-1000167,2020-05-29,3,6421.07,1.248,MONTHLY,VARIABLE,NO,MATURED,BR-021,USD,30_360,YES
CUST001336,CD-1000168,2025-12-23,9,9319.2,1.376,QUARTERLY,VARIABLE,NO,ACTIVE,BR-024,USD,ACT_365,NO
CUST002674,CD-1000169,2020-10-23,6,178347.01,1.278,MONTHLY,FIXED,YES,MATURED,BR-087,USD,30_360,NO
CUST000182,CD-1000170,2024-02-04,60,163807.75,4.204,QUARTERLY,VARIABLE,NO,ACTIVE,BR-087,USD,30_360,NO
CUST000850,CD-1000171,2023-03-18,12,52479.7,1.492,MONTHLY,VARIABLE,YES,MATURED,BR-019,USD,ACT_365,NO
CUST000721,CD-1000172,2025-01-19,24,225336.67,1.96,MONTHLY,VARIABLE,YES,ACTIVE,BR-017,USD,ACT_365,YES
CUST006172,CD-1000173,2023-05-31,48,172150.25,3.144,MONTHLY,FIXED,NO,ACTIVE,BR-015,USD,ACT_365,NO
CUST005779,CD-1000174,2024-05-08,60,84375.19,3.969,MONTHLY,VARIABLE,YES,ACTIVE,BR-069,USD,ACT_365,NO
CUST005574,CD-1000175,2025-08-01,60,102209.47,4.169,MONTHLY,VARIABLE,NO,ACTIVE,BR-092,USD,ACT_365,NO
CUST003695,CD-1000176,2025-03-07,6,73492.67,1.305,QUARTERLY,VARIABLE,NO,MATURED,BR-003,USD,ACT_365,NO
CUST005736,CD-1000177,2024-07-04,12,207734.25,1.49,MONTHLY,FIXED,YES,MATURED,BR-017,USD,ACT_365,YES
CUST001291,CD-1000178,2021-01-05,12,123743.0,1.563,AT_MATURITY,VARIABLE,YES,MATURED,BR-006,USD,30_360,NO
CUST007205,CD-1000179,2021-01-21,48,34259.24,2.973,QUARTERLY,VARIABLE,YES,MATURED,BR-040,USD,ACT_365,NO
CUST004008,CD-1000180,2023-02-07,12,50827.58,1.277,MONTHLY,VARIABLE,YES,MATURED,BR-002,USD,30_360,YES
CUST007504,CD-1000181,2024-02-11,9,74496.48,1.515,MONTHLY,VARIABLE,YES,MATURED,BR-036,USD,ACT_365,YES
CUST001219,CD-1000182,2024-03-01,36,101086.72,2.428,MONTHLY,FIXED,YES,ACTIVE,BR-031,USD,30_360,NO
CUST003979,CD-1000183,2024-11-29,18,148363.66,1.809,AT_MATURITY,FIXED,YES,ACTIVE,BR-147,USD,ACT_365,NO
CUST005570,CD-1000184,2020-08-23,36,241059.16,2.738,AT_MATURITY,FIXED,YES,MATURED,BR-079,USD,30_360,NO
CUST003965,CD-1000185,2021-01-30,12,65851.2,1.4,QUARTERLY,FIXED,YES,MATURED,BR-034,USD,30_360,NO
CUST003569,CD-1000186,2020-12-08,18,82436.69,1.998,MONTHLY,VARIABLE,NO,MATURED,BR-018,USD,ACT_365,NO
CUST001330,CD-1000187,2023-05-19,3,6476.02,1.04,QUARTERLY,VARIABLE,YES,MATURED,BR-104,USD,ACT_365,NO
CUST003048,CD-1000188,2023-12-17,3,93451.71,0.541,QUARTERLY,FIXED,YES,MATURED,BR-127,USD,30_360,NO
CUST001910,CD-1000189,2020-09-20,3,168931.83,1.141,AT_MATURITY,FIXED,YES,MATURED,BR-084,USD,ACT_365,NO
CUST002412,CD-1000190,2025-06-04,6,240783.77,0.943,QUARTERLY,FIXED,YES,MATURED,BR-080,USD,ACT_365,YES
CUST005469,CD-1000191,2021-11-23,12,185177.29,0.963,MONTHLY,FIXED,YES,MATURED,BR-028,USD,ACT_365,NO
CUST005042,CD-1000192,2024-02-15,3,29940.13,1.22,AT_MATURITY,VARIABLE,NO,MATURED,BR-044,USD,30_360,NO
CUST004857,CD-1000193,2024-09-10,6,222564.63,0.705,QUARTERLY,VARIABLE,NO,MATURED,BR-066,USD,30_360,NO
CUST002895,CD-1000194,2020-03-23,48,209750.44,3.236,AT_MATURITY,FIXED,YES,MATURED,BR-007,USD,ACT_365,YES
CUST007677,CD-1000195,2025-05-26,48,47661.1,3.463,AT_MATURITY,FIXED,YES,ACTIVE,BR-014,USD,30_360,NO
CUST000702,CD-1000196,2026-01-22,9,233618.55,1.254,AT_MATURITY,FIXED,YES,ACTIVE,BR-070,USD,30_360,NO
CUST002741,CD-1000197,2025-12-26,60,178667.71,3.782,QUARTERLY,FIXED,YES,ACTIVE,BR-022,USD,30_360,NO
CUST000944,CD-1000198,2020-11-14,6,195812.93,0.772,MONTHLY,VARIABLE,NO,MATURED,BR-003,USD,ACT_365,NO
